культура,сорт,запрос_из_выгрузки,число_запросов_из_выгрузки,источник,статус,изображение_локально
клубника,Азия,азия клубника описание сорта фото отзывы садоводов,2106,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-aziya-ai-study-2026-09-26.png
клубника,Мурано,клубника мурано описание сорта фото отзывы садоводов,1647,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-murano-ai-study-2026-09-26.png
клубника,Альба,альба клубника описание сорта фото отзывы садоводов,1097,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-alba-ai-study-2026-09-26.png
клубника,Мальвина,мальвина клубника описание сорта фото отзывы садоводов,1063,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-malvina-ai-study-2026-09-26.png
клубника,Клери,клери клубника описание сорта фото отзывы садоводов,1007,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-kleri-ai-study-2026-09-26.png
клубника,Априка,клубника априка описание сорта фото отзывы садоводов,917,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-aprika-ai-study-2026-09-26.png
клубника,Фестивальная,клубника фестивальная описание сорта фото отзывы садоводов,736,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-festivalnaya-ai-study-2026-09-26.png
клубника,Альбион,альбион клубника описание сорта фото отзывы садоводов,568,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-albion-ai-study-2026-09-26.png
клубника,Кабрилло,кабрилло клубника описание сорта фото отзывы садоводов,557,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-kabrillo-ai-study-2026-09-26.png
клубника,Хоней,хоней клубника описание сорта фото отзывы садоводов,515,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-honey-ai-study-2026-09-26.png
клубника,Брилла,клубника брилла описание сорта фото отзывы садоводов,502,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-brilla-ai-study-2026-09-26.png
клубника,Сенсация,сенсация клубника описание сорта фото отзывы садоводов,481,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-sensatsiya-ai-study-2026-09-26.png
клубника,Кимберли,клубника кимберли описание сорта фото отзывы садоводов,458,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-kimberli-ai-study-2026-09-26.png
клубника,Сирия,сирия клубника описание сорта фото отзывы садоводов,458,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-siriya-ai-study-2026-09-26.png
клубника,Джоли,джоли клубника описание сорта фото отзывы садоводов,377,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-dzholi-ai-study-2026-09-26.png
клубника,Ания,ания клубника описание сорта фото отзывы садоводов,314,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-aniya-ai-study-2026-09-26.png
клубника,Машенька,машенька клубника описание сорта фото отзывы садоводов,308,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-mashenka-ai-study-2026-09-26.png
клубника,Магнус,магнус клубника описание сорта фото отзывы садоводов,293,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-magnus-ai-study-2026-09-26.png
клубника,Румба,румба клубника описание сорта фото отзывы садоводов,268,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-rumba-ai-study-2026-09-26.png
клубника,Мальга,мальга клубника описание сорта фото отзывы садоводов,263,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-malga-ai-study-2026-09-26.png
клубника,Мармелада,мармелада клубника описание сорта фото отзывы садоводов,225,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-marmelada-ai-study-2026-09-26.png
клубника,Царица,царица клубника описание сорта фото отзывы садоводов,225,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-tsaritsa-ai-study-2026-09-26.png
клубника,Эльсанта,эльсанта клубника описание сорта фото отзывы садоводов,224,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-elsanta-ai-study-2026-09-26.png
клубника,Полька,полка клубника описание сорта фото отзывы садоводов,195,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-polka-ai-study-2026-09-25.webp
клубника,Берегиня,клубника берегиня описание сорта фото отзывы садоводов,66,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/strawberry-bereginya-ai-study-2026-09-26.png
малина,Таруса,малина таруса описание сорта фото отзывы садоводов,1174,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-tarusa-ai-study-2026-09-26.png
малина,Пшехиба,пшехиба малина описание сорта фото отзывы садоводов,980,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-pshehiba-ai-study-2026-09-26.png
малина,Карамелька,карамелька малина описание сорта фото отзывы садоводов,841,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-karamelka-ai-study-2026-09-26.png
малина,Гусар,малина гусар описание сорта фото отзывы садоводов,403,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-gusar-ai-study-2026-09-26.png
малина,Лячка,малина лячка описание сорта фото отзывы садоводов,345,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-lyachka-ai-study-2026-09-26.png
малина,Самохвал,малина самохвал описание сорта фото отзывы садоводов,341,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-samohval-ai-study-2026-09-26.png
малина,Патриция,малина патриция описание сорта фото отзывы садоводов,324,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-patritsiya-ai-study-2026-09-26.png
малина,Маравилла,малина маравилла описание сорта фото отзывы садоводов,289,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-maravilla-ai-study-2026-09-26.png
малина,Похвалинка,малина похвалинка описание сорта фото отзывы садоводов,274,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-pohvalinka-ai-study-2026-09-26.png
малина,Пингвин,малина пингвин описание сорта фото отзывы садоводов,256,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-pingvin-ai-study-2026-09-26.png
малина,Энросадира,малина энросадира описание сорта фото отзывы садоводов,253,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-enrosadira-ai-study-2026-09-26.png
малина,Зюгана,малина зюгана описание сорта фото отзывы садоводов,239,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-zyugana-ai-study-2026-09-26.png
малина,Атлант,малина атлант описание сорта фото отзывы садоводов,237,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-atlant-ai-study-2026-09-26.png
малина,Геракл,малина геракл описание сорта фото отзывы садоводов,230,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-gerakl-ai-study-2026-09-26.png
малина,Крепыш,малина крепыш описание сорта фото отзывы садоводов,224,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-krepysh-ai-study-2026-09-26.png
малина,Маросейка,малина маросейка описание сорта фото отзывы садоводов,222,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-maroseyka-ai-study-2026-09-26.png
малина,Полана,малина полана описание сорта фото отзывы садоводов,220,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-polana-ai-study-2026-09-26.png
малина,Соколица,малина соколица описание сорта фото отзывы садоводов,216,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-sokolitsa-ai-study-2026-09-26.png
малина,Мапема,мапема малина описание сорта фото отзывы садоводов,167,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-mapema-ai-study-2026-09-26.png
малина,Амира,малина амира описание сорта фото отзывы садоводов,153,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-amira-ai-study-2026-09-26.png
малина,Полонез,малина полонез описание сорта фото отзывы садоводов,152,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-polonez-ai-study-2026-09-26.png
малина,Пересвет,малина пересвет описание сорта фото отзывы садоводов,124,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-peresvet-ai-study-2026-09-26.png
малина,Метеор,малина метеор описание сорта фото отзывы садоводов,104,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-meteor-ai-study-2026-09-26.png
малина,Бриллиантовая,малина бриллиантовая описание сорта фото отзывы садоводов,102,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-brilliantovaya-ai-study-2026-09-26.png
малина,Полька,малина полька описание сорта фото отзывы садоводов,77,research/keyword-variety-queries-2026-09-24.tsv,кандидат к проверке,research/media/raspberry-polka-ai-study-2026-09-26.png
